d,degree,trial_id,seed,shd,n_edges_true,n_edges_est,runtime_sec
50,3.0,1,9916196,9.0,74,82,6.483231500256807
50,3.0,2,896160771,87.0,73,148,7.109146300237626
50,3.0,3,542827091,16.0,71,87,6.479938299860805
50,3.0,4,140249088,12.0,83,95,7.32216539978981
50,3.0,5,302179329,12.0,76,87,7.144779000431299
50,3.0,6,554036143,65.0,75,134,6.8622663002461195
50,3.0,7,315692168,6.0,89,95,6.708424800075591
50,3.0,8,665988883,12.0,81,92,6.7933236001990736
50,3.0,9,672240092,10.0,68,78,6.7078276998363435
50,3.0,10,118874252,10.0,78,88,6.433042999822646
50,3.0,11,281233783,15.0,77,87,6.4492417997680604
50,3.0,12,243873251,87.0,72,145,6.907161300070584
50,3.0,13,659422634,13.0,70,83,6.3776187999174
50,3.0,14,730295586,16.0,78,94,6.3669496001675725
50,3.0,15,726994614,8.0,70,78,6.356737399939448
50,3.0,16,938761242,17.0,79,96,6.428853000048548
50,3.0,17,768647491,8.0,70,78,6.281855300068855
50,3.0,18,320679442,68.0,68,125,6.348538300022483
50,3.0,19,107740945,11.0,65,77,6.301964299753308
50,3.0,20,614642828,48.0,72,111,6.6625463999807835
50,4.0,1,916011844,154.0,99,233,9.402050400152802
50,4.0,2,975155319,102.0,103,188,7.584329099860042
50,4.0,3,230213990,93.0,91,173,7.458890600129962
50,4.0,4,236455439,5.0,108,113,7.324194499757141
50,4.0,5,37412556,53.0,88,134,6.487381500191987
50,4.0,6,141262147,200.0,103,286,8.688402299769223
50,4.0,7,554852469,24.0,108,122,6.4610880999825895
50,4.0,8,546803284,118.0,98,197,8.956576299853623
50,4.0,9,370922283,460.0,119,537,18.690618299879134
50,4.0,10,309955439,12.0,76,89,6.3620267999358475
50,4.0,11,808251471,12.0,107,119,8.319307600148022
50,4.0,12,963211869,83.0,100,172,9.001807499676943
50,4.0,13,317138892,12.0,110,122,6.963186300359666
50,4.0,14,202738313,15.0,93,107,6.617546800058335
50,4.0,15,634831088,59.0,105,158,7.087941099889576
50,4.0,16,290917837,92.0,91,163,7.201733900234103
50,4.0,17,621859989,35.0,106,133,6.891071900259703
50,4.0,18,515057129,47.0,104,144,6.957987899892032
50,4.0,19,905532189,167.0,94,243,8.10592779982835
50,4.0,20,255965090,59.0,103,154,6.768009799998254
