d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio,mask_total_offdiag,mask_tau,mask_n_screens,mask_allowed_count,mask_zero_count,mask_zero_ratio,mask_corr_zero_count,mask_corr_allowed_count,mask_corr_zero_ratio,mask_corr_keep_ratio,mask_pcorr_zero_count,mask_pcorr_allowed_count,mask_pcorr_zero_ratio,mask_pcorr_keep_ratio,mask_glasso_zero_count,mask_glasso_allowed_count,mask_glasso_zero_ratio,mask_glasso_keep_ratio,mask_overlap_corr_pcorr_count,mask_overlap_corr_pcorr_union_count,mask_overlap_corr_pcorr_jaccard,mask_overlap_corr_pcorr_overlap_ratio,mask_overlap_all_count,mask_overlap_all_union_count,mask_overlap_all_jaccard
30,20000,4,438878439,wf_glasso_tau0.1,0,4.0,7.0,33,31,13.678722199983895,26040,0.10804597701149425,870,0.1,1,94,776,0.8919540229885058,,,,,,,,,776.0,94.0,0.8919540229885058,0.10804597701149425,,,,,,,
30,20000,4,438878439,wf_glasso_tau0.2,0,8.0,16.0,33,29,12.071356200031005,21390,0.0896551724137931,870,0.2,1,78,792,0.9103448275862069,,,,,,,,,792.0,78.0,0.9103448275862069,0.0896551724137931,,,,,,,
30,20000,4,438878439,wf_corr+pcorr_tau0.02,0,21.0,35.0,33,37,12.805645600077696,30225,0.3425287356321839,870,0.02,2,298,572,0.6574712643678161,610.0,260.0,0.7011494252873564,0.2988505747126437,764.0,106.0,0.8781609195402299,0.12183908045977011,,,,,572.0,802.0,0.713216957605985,0.9377049180327869,572.0,802.0,0.713216957605985
30,20000,4,438878439,wf_corr+pcorr_tau0.05,0,21.0,46.0,33,43,10.992989500053227,26505,0.32873563218390806,870,0.05,2,286,584,0.671264367816092,616.0,254.0,0.7080459770114943,0.29195402298850576,770.0,100.0,0.8850574712643678,0.11494252873563218,,,,,584.0,802.0,0.7281795511221946,0.948051948051948,584.0,802.0,0.7281795511221946
30,20000,4,438878439,wf_corr+pcorr_tau0.1,0,29.0,67.0,33,45,11.52242909988854,26505,0.30114942528735633,870,0.1,2,262,608,0.6988505747126437,640.0,230.0,0.735632183908046,0.26436781609195403,772.0,98.0,0.8873563218390804,0.11264367816091954,,,,,608.0,804.0,0.7562189054726368,0.95,608.0,804.0,0.7562189054726368
30,20000,4,438878439,wf_corr+pcorr_tau0.2,0,20.0,41.0,33,39,9.95809999993071,24180,0.2413793103448276,870,0.2,2,210,660,0.7586206896551724,688.0,182.0,0.7908045977011494,0.20919540229885059,788.0,82.0,0.9057471264367816,0.09425287356321839,,,,,660.0,816.0,0.8088235294117647,0.9593023255813954,660.0,816.0,0.8088235294117647
30,20000,5,433015235,baseline,0,20.0,47.0,24,25,13.353319899993949,28830,1.0,870,0.0,1,870,0,0.0,,,,,,,,,,,,,,,,,,,
30,20000,5,433015235,wf_corr_tau0.02,0,8.0,11.0,24,23,25.20781910000369,60450,0.1632183908045977,870,0.02,1,142,728,0.8367816091954023,728.0,142.0,0.8367816091954023,0.1632183908045977,,,,,,,,,,,,,,,
30,20000,5,433015235,wf_corr_tau0.05,0,9.0,12.0,24,23,23.613395599997602,58125,0.15862068965517243,870,0.05,1,138,732,0.8413793103448276,732.0,138.0,0.8413793103448276,0.15862068965517243,,,,,,,,,,,,,,,
30,20000,5,433015235,wf_corr_tau0.1,0,9.0,19.0,24,21,27.364569100085646,67890,0.12643678160919541,870,0.1,1,110,760,0.8735632183908046,760.0,110.0,0.8735632183908046,0.12643678160919541,,,,,,,,,,,,,,,
