d,n_samples,trial_id,seed,algorithm,mec_match,shd,cpdag_shd,n_edges_true,n_edges_est,runtime_sec,actual_steps,mask_keep_ratio
30,20000,5,433015235,wf_corr+pcorr_tau0.1,0,16.0,24.0,24,23,16.833355899958406,60915,0.167816091954023
30,20000,5,433015235,wf_corr+pcorr_tau0.2,0,10.0,29.0,24,23,9.581504800007679,34410,0.13793103448275862
30,20000,6,858597919,baseline,0,14.0,14.0,21,21,6.022323700017296,18600,1.0
30,20000,6,858597919,wf_corr_tau0.02,0,5.0,9.0,21,19,4.34495420003077,16275,0.1103448275862069
30,20000,6,858597919,wf_corr_tau0.05,0,8.0,15.0,21,19,4.216404300008435,15345,0.10804597701149425
30,20000,6,858597919,wf_corr_tau0.1,0,8.0,15.0,21,19,4.0779707000474446,15345,0.10804597701149425
30,20000,6,858597919,wf_corr_tau0.2,0,6.0,12.0,21,19,5.314208900032099,19065,0.09655172413793103
30,20000,6,858597919,wf_pcorr_tau0.02,0,2.0,5.0,21,19,4.483406899962574,15345,0.07816091954022988
30,20000,6,858597919,wf_pcorr_tau0.05,0,2.0,5.0,21,19,5.665836600004695,18600,0.07126436781609195
30,20000,6,858597919,wf_pcorr_tau0.1,0,2.0,5.0,21,19,5.486202400003094,18600,0.07126436781609195
30,20000,6,858597919,wf_pcorr_tau0.2,0,3.0,6.0,21,18,4.301841400039848,13485,0.059770114942528735
30,20000,6,858597919,wf_glasso_tau0.02,0,10.0,13.0,21,21,4.334655700018629,15345,0.08275862068965517
30,20000,6,858597919,wf_glasso_tau0.05,0,2.0,5.0,21,19,5.608569599979091,18600,0.07126436781609195
30,20000,6,858597919,wf_glasso_tau0.1,0,2.0,5.0,21,19,4.989622500026599,17205,0.06896551724137931
30,20000,6,858597919,wf_glasso_tau0.2,0,3.0,6.0,21,18,4.041444699978456,13020,0.059770114942528735
30,20000,6,858597919,wf_corr+pcorr_tau0.02,0,6.0,13.0,21,19,4.65448440000182,16740,0.14022988505747128
30,20000,6,858597919,wf_corr+pcorr_tau0.05,0,17.0,27.0,21,20,5.111712499987334,17670,0.1310344827586207
30,20000,6,858597919,wf_corr+pcorr_tau0.1,0,17.0,27.0,21,20,4.699936699995305,17670,0.1310344827586207
30,20000,6,858597919,wf_corr+pcorr_tau0.2,0,10.0,15.0,21,20,4.918120299989823,16275,0.11264367816091954
30,20000,7,201469535,baseline,0,32.0,49.0,38,44,15.07198549999157,47895,1.0
30,20000,7,201469535,wf_corr_tau0.02,0,15.0,22.0,38,39,6.1078416999662295,21855,0.31494252873563217
30,20000,7,201469535,wf_corr_tau0.05,0,15.0,22.0,38,39,6.121725299977697,21855,0.31494252873563217
30,20000,7,201469535,wf_corr_tau0.1,0,11.0,17.0,38,36,8.782913800037932,30225,0.30114942528735633
30,20000,7,201469535,wf_corr_tau0.2,0,6.0,11.0,38,35,7.993600899993908,28365,0.2689655172413793
30,20000,7,201469535,wf_pcorr_tau0.02,0,4.0,9.0,38,37,11.523330600000918,35805,0.13793103448275862
30,20000,7,201469535,wf_pcorr_tau0.05,0,4.0,9.0,38,37,11.025742399971932,35805,0.13793103448275862
30,20000,7,201469535,wf_pcorr_tau0.1,0,4.0,9.0,38,37,11.122048299992457,35805,0.13793103448275862
30,20000,7,201469535,wf_pcorr_tau0.2,0,6.0,12.0,38,34,10.179943100025412,33015,0.11724137931034483
30,20000,7,201469535,wf_glasso_tau0.02,0,15.0,19.0,38,39,11.478617099986877,34410,0.17701149425287357
30,20000,7,201469535,wf_glasso_tau0.05,0,13.0,17.0,38,39,11.078983000013977,33480,0.16091954022988506
30,20000,7,201469535,wf_glasso_tau0.1,0,15.0,28.0,38,37,11.981635999982245,33480,0.135632183908046
30,20000,7,201469535,wf_glasso_tau0.2,0,14.0,20.0,38,32,11.381108900008257,33015,0.10574712643678161
30,20000,7,201469535,wf_corr+pcorr_tau0.02,0,17.0,30.0,38,41,6.667951299983542,23250,0.36091954022988504
30,20000,7,201469535,wf_corr+pcorr_tau0.05,0,17.0,30.0,38,41,6.71789390000049,23250,0.36091954022988504
30,20000,7,201469535,wf_corr+pcorr_tau0.1,0,22.0,44.0,38,47,8.96207880001748,29760,0.3471264367816092
30,20000,7,201469535,wf_corr+pcorr_tau0.2,0,29.0,52.0,38,43,6.7079858999932185,23715,0.3057471264367816
30,20000,8,94177347,baseline,0,12.0,23.0,30,25,8.752011300006416,28365,1.0
30,20000,8,94177347,wf_corr_tau0.02,0,18.0,28.0,30,32,5.572125499951653,19530,0.22758620689655173
30,20000,8,94177347,wf_corr_tau0.05,0,5.0,4.0,30,30,5.266698099963833,19065,0.21839080459770116
30,20000,8,94177347,wf_corr_tau0.1,0,15.0,32.0,30,31,4.843990099965595,17670,0.19540229885057472
30,20000,8,94177347,wf_corr_tau0.2,0,11.0,23.0,30,29,6.310269099951256,22320,0.167816091954023
30,20000,8,94177347,wf_pcorr_tau0.02,1,0.0,0.0,30,30,8.588685500028078,28830,0.12413793103448276
30,20000,8,94177347,wf_pcorr_tau0.05,1,0.0,0.0,30,30,8.67486359999748,28830,0.12183908045977011
30,20000,8,94177347,wf_pcorr_tau0.1,0,4.0,5.0,30,28,6.717776599980425,23250,0.11494252873563218
30,20000,8,94177347,wf_pcorr_tau0.2,0,17.0,38.0,30,23,6.584082900022622,22785,0.09195402298850575
30,20000,8,94177347,wf_glasso_tau0.02,1,0.0,0.0,30,30,8.71608969999943,25110,0.1310344827586207
30,20000,8,94177347,wf_glasso_tau0.05,1,3.0,0.0,30,30,8.689128199999686,24180,0.12183908045977011
30,20000,8,94177347,wf_glasso_tau0.1,0,5.0,4.0,30,29,8.95892109995475,25575,0.1103448275862069
30,20000,8,94177347,wf_glasso_tau0.2,0,6.0,12.0,30,26,8.525502400007099,24645,0.08505747126436781
30,20000,8,94177347,wf_corr+pcorr_tau0.02,0,12.0,20.0,30,30,6.170172299956903,22785,0.27586206896551724
