mec_match,exact_match,cpdag_shd,n_edges_true,n_edges_est,trial,seed,algorithm,objective,runtime_sec,epochs_used
0,0,4.0,6,8,18,450385937,ges,,0.19697539997287095,
0,0,9.0,7,8,19,500351915,cd_A_l0_0.0,287.77086088023015,4.686996100004762,500.0
0,0,10.0,7,6,19,500351915,cd_B_l0_0.0,3.2087678129207284,1.1585929000284523,149.0
0,0,10.0,7,6,19,500351915,cd_BOmega_l0_0.0,4.104383906409314,1.2539632000261918,149.0
0,0,10.0,7,7,19,500351915,cd_A_l0_0.1,287.74724160048225,4.734730699972715,500.0
0,0,10.0,7,6,19,500351915,cd_B_l0_0.1,3.2115590406850294,1.2001670000026934,149.0
0,0,10.0,7,6,19,500351915,cd_BOmega_l0_0.1,4.098471366390088,1.2834290000027977,149.0
0,0,10.0,7,7,19,500351915,cd_A_l0_0.2,287.7493420404465,4.631265899981372,500.0
0,0,10.0,7,6,19,500351915,cd_B_l0_0.2,3.224978372385313,1.1938923000125214,149.0
0,0,9.0,7,5,19,500351915,cd_BOmega_l0_0.2,4.2382241368831854,1.37601020000875,149.0
0,0,8.0,7,9,19,500351915,golem_ev,,32.766457300051115,
0,0,7.0,7,6,19,500351915,golem_nv,,27.55528599995887,
0,0,7.0,7,5,19,500351915,sp,,0.017309200018644333,
0,0,4.0,7,7,19,500351915,ges,,0.1874668999807909,
0,0,2.0,8,10,20,370798024,cd_A_l0_0.0,88.48026123934477,4.873136400012299,500.0
0,0,2.0,8,6,20,370798024,cd_B_l0_0.0,5.691690986101875,1.5363548999885097,206.0
0,0,2.0,8,10,20,370798024,cd_BOmega_l0_0.0,7.748877709300267,4.228793599992059,500.0
0,0,5.0,8,8,20,370798024,cd_A_l0_0.1,89.14719912222809,4.6880597999552265,500.0
0,0,5.0,8,3,20,370798024,cd_B_l0_0.1,17.21182643164222,1.105749399983324,149.0
0,0,4.0,8,4,20,370798024,cd_BOmega_l0_0.1,11.174659101398007,1.201166800048668,149.0
0,0,5.0,8,8,20,370798024,cd_A_l0_0.2,89.11533883969578,4.252359599980991,500.0
0,0,5.0,8,3,20,370798024,cd_B_l0_0.2,17.21182643164222,1.2458459999761544,149.0
0,0,4.0,8,4,20,370798024,cd_BOmega_l0_0.2,11.174659101398007,1.196150400035549,149.0
0,0,1.0,8,9,20,370798024,golem_ev,,31.99085850000847,
0,0,4.0,8,7,20,370798024,golem_nv,,25.427468599984422,
0,0,5.0,8,6,20,370798024,sp,,0.019940400030463934,
0,0,3.0,8,12,20,370798024,ges,,0.21478839998599142,
0,0,2.0,4,6,21,182549636,cd_A_l0_0.0,8.010962052875353,3.8323643999756314,460.0
0,0,3.0,4,5,21,182549636,cd_B_l0_0.0,2.867563160251038,3.412375800020527,500.0
0,0,2.0,4,6,21,182549636,cd_BOmega_l0_0.0,3.936793351874269,1.3096181000000797,155.0
0,0,4.0,4,5,21,182549636,cd_A_l0_0.1,8.341026716492244,3.139668000047095,294.0
0,0,3.0,4,3,21,182549636,cd_B_l0_0.1,5.048174359428865,1.1858539000386372,149.0
0,0,3.0,4,3,21,182549636,cd_BOmega_l0_0.1,5.02408717970609,1.2230317000066862,149.0
0,0,1.0,4,3,21,182549636,cd_A_l0_0.2,8.329068798311713,2.6772430999553762,282.0
0,0,3.0,4,3,21,182549636,cd_B_l0_0.2,5.048174359428865,1.077239100006409,149.0
0,0,3.0,4,3,21,182549636,cd_BOmega_l0_0.2,5.02408717970609,1.2061679000034928,149.0
0,0,5.0,4,6,21,182549636,golem_ev,,28.86177850002423,
0,0,3.0,4,5,21,182549636,golem_nv,,24.35360110003967,
0,0,3.0,4,3,21,182549636,sp,,0.01821009995182976,
0,0,0.0,4,8,21,182549636,ges,,0.10773449996486306,
0,0,3.0,5,6,22,926764988,cd_A_l0_0.0,9.354002266964496,1.3571684999624267,149.0
0,0,3.0,5,6,22,926764988,cd_B_l0_0.0,4.346034583912704,1.1359139999840409,150.0
0,0,3.0,5,6,22,926764988,cd_BOmega_l0_0.0,4.673032722725214,1.1616652999655344,149.0
0,0,4.0,5,5,22,926764988,cd_A_l0_0.1,9.80286666981436,1.34266949997982,152.0
0,0,6.0,5,5,22,926764988,cd_B_l0_0.1,7.392678179414867,1.005103199975565,149.0
0,0,4.0,5,5,22,926764988,cd_BOmega_l0_0.1,5.206985948620039,1.1200955000240356,149.0
0,0,4.0,5,5,22,926764988,cd_A_l0_0.2,10.418967015722185,1.28086339996662,153.0
0,0,7.0,5,4,22,926764988,cd_B_l0_0.2,9.806670961248072,1.0118440000223927,149.0
0,0,7.0,5,4,22,926764988,cd_BOmega_l0_0.2,7.403335480623483,1.225022800033912,149.0
0,0,6.0,5,9,22,926764988,golem_ev,,25.309402200044133,
0,0,6.0,5,7,22,926764988,golem_nv,,21.167102400038857,
0,0,4.0,5,5,22,926764988,sp,,0.017571000033058226,
0,0,0.0,5,10,22,926764988,ges,,0.1218108999892138,
0,0,3.0,4,7,23,781567455,cd_A_l0_0.0,7.894090772109228,2.4262087999959476,273.0
0,0,3.0,4,6,23,781567455,cd_B_l0_0.0,2.8555099352438456,2.820298200007528,403.0
0,0,3.0,4,7,23,781567455,cd_BOmega_l0_0.0,3.9392875703202357,2.4886028000037186,298.0
0,0,3.0,4,5,23,781567455,cd_A_l0_0.1,8.291595312799124,1.441393600020092,149.0
0,0,4.0,4,4,23,781567455,cd_B_l0_0.1,5.033603596473246,1.1156113999895751,149.0
0,0,4.0,4,4,23,781567455,cd_BOmega_l0_0.1,5.016801798235602,1.2920485999784432,149.0
0,0,5.0,4,6,23,781567455,cd_A_l0_0.2,8.292463505625996,1.380330599960871,149.0
0,0,4.0,4,4,23,781567455,cd_B_l0_0.2,5.033603596473246,1.0764665000024252,149.0
0,0,4.0,4,4,23,781567455,cd_BOmega_l0_0.2,5.016801798235602,1.221551000024192,149.0
0,0,7.0,4,13,23,781567455,golem_ev,,25.543301599973347,
0,0,9.0,4,7,23,781567455,golem_nv,,22.198741299973335,
1,0,0.0,4,4,23,781567455,sp,,0.020478099992033094,
0,0,0.0,4,8,23,781567455,ges,,0.08876429998781532,
0,0,7.0,3,7,24,643865119,cd_B_l0_0.0,4.3836282857429305,1.00139940000372,149.0
0,0,1.0,3,4,24,643865119,golem_ev,,25.15433920000214,
0,0,5.0,3,6,24,643865119,golem_nv,,21.239457499992568,
1,0,0.0,3,3,24,643865119,sp,,0.023250500031281263,
1,0,0.0,3,4,24,643865119,ges,,0.07840459997532889,
0,0,4.0,5,7,25,402414364,cd_B_l0_0.0,4.816207336925068,3.7124795999843627,500.0
0,0,4.0,5,7,25,402414364,cd_BOmega_l0_0.0,4.90810347878662,3.9585025000269525,500.0
0,0,1.0,5,4,25,402414364,cd_A_l0_0.1,10.284398664732063,4.770117799984291,487.0
0,0,5.0,5,3,25,402414364,cd_B_l0_0.1,13.195917721118388,1.1266270999913104,149.0
0,0,5.0,5,3,25,402414364,cd_BOmega_l0_0.1,9.09795886055857,1.2257246000226587,149.0
